"Geburtsland","Geburtsort","Geburtsort.korrigiert","Geburtsort_Land.kombiniert","Anzahl.Personen","Notizen","Lat_Bing","Long_Bing","Distanz.zu.Düsseldorf"
"Niedersachsen","Nordhorn Stadt","Nordhorn","Nordhorn, Niedersachsen",383,"",52.4457016,7.065020084,138.219210828446
"Niedersachsen","Northeim Stadt","Northeim","Northeim, Niedersachsen",118,"",51.70349884,9.992620468,230.023445151367
"Niedersachsen","Oldenburg Oldenburg Stadt","Oldenburg","Oldenburg, Niedersachsen",572,"",53.14419937,8.193479538,235.346140638026
"Niedersachsen","Osnabrück Stadt","Osnabrück","Osnabrück, Niedersachsen",670,"",52.29130173,8.054650307,148.660177996546
"Niedersachsen","Papenburg Stadt","Papenburg","Papenburg, Niedersachsen",124,"",53.07429886,7.409880161,211.188409872311
"Niedersachsen","Peine Stadt","Peine","Peine, Niedersachsen",102,"",52.32279968,10.24569988,269.259126448612
"Niedersachsen","Salzgitter Stadt","Salzgitter","Salzgitter, Niedersachsen",185,"",52.15327835,10.33312035,267.14958118437
"Niedersachsen","Stade Hansestadt","Stade Hanse","Stade Hanse, Niedersachsen",138,"",53.59527,9.47672,322.144846470201
"Niedersachsen","Uelzen Stadt","Uelzen","Uelzen, Niedersachsen",108,"",52.97449875,10.56260014,324.881083937679
"Niedersachsen","Vechta Stadt","Vechta","Vechta, Niedersachsen",143,"",52.7356987,8.281640053,198.165167724528
"Niedersachsen","Wilhelmshaven Stadt","Wilhelmshaven","Wilhelmshaven, Niedersachsen",326,"",53.52959824,8.099840164,272.651146066993
"Niedersachsen","Wolfenbüttel Stadt","Wolfenbüttel","Wolfenbüttel, Niedersachsen",130,"",52.15890121,10.55910015,281.816381339309
"Niedersachsen","Wolfsburg Stadt","Wolfsburg","Wolfsburg, Niedersachsen",146,"",52.42440033,10.79749966,308.09005597954
"Nordrhein-Westfalen","Aachen","Aachen","Aachen, Nordrhein-Westfalen",2082,"",50.77822876,6.088640213,68.5079300249722
"Nordrhein-Westfalen","Ahaus Stadt","Ahaus","Ahaus, Nordrhein-Westfalen",194,"",52.09030151,7.00797987,98.5703097087036
"Nordrhein-Westfalen","Ahlen Stadt","Ahlen","Ahlen, Nordrhein-Westfalen",232,"",51.74150085,7.889550209,96.9674412452536
"Nordrhein-Westfalen","Arnsberg Stadt","Arnsberg","Arnsberg, Nordrhein-Westfalen",533,"",51.39440155,8.06210041,91.8597678969448
"Nordrhein-Westfalen","Attendorn Hansestadt","Attendorn","Attendorn, Nordrhein-Westfalen",158,"",51.12440109,7.90060997,79.3035895612305
