"Geburtsland","Geburtsort","Geburtsort.korrigiert","Geburtsort_Land.kombiniert","Anzahl.Personen","Notizen","Lat_Bing","Long_Bing","Distanz.zu.Düsseldorf"
"Russische Föderation","TSCHELJABINSK","Tscheljabinsk","Tscheljabinsk, Russische Föderation",145,"",55.16305923,61.38861084,3582.0667808555
"Schweiz","ZÜRICH","Zürich","Zürich, Schweiz",100,"",47.36560059,8.505949974,445.967442747182
"Serbien","BELGRAD","Belgrad","Belgrad, Serbien",1084,"inklusive 252 für Beograd",44.81309891,20.46326065,1241.32610229885
"Kosovo","PRISTINA","Pristina","Pristina, Kosovo",160,"",42.66379929,21.16620064,1445.57014898449
"Kosovo","PRIZREN","Prizren","Prizren, Kosovo",191,"",42.21760178,20.73349953,1457.56367989043
"Serbien","SABAC","Sabac","Sabac, Serbien",125,"",44.75851059,19.70169067,1199.48527119761
"Kosovo","FERIZAJ","Ferizaj","Ferizaj, Kosovo",129,"",42.37007904,21.15166855,1468.38825174896
"Spanien","BARCELONA","Barcelona","Barcelona, Spanien",316,"",41.375,2.157589912,1148.85937632604
"Spanien","MADRID","Madrid","Madrid, Spanien",437,"",40.42028046,-3.705770016,1446.30208852262
"Sri Lanka","JAFFNA","Jaffna","Jaffna, Sri Lanka",134,"",9.658760071,80.01898956,8006.61981875222
"Syrien","ALEPPO","Aleppo","Aleppo, Syrien",503,"",36.22185135,37.13188171,2925.46226590074
"Syrien","DAMASKUS","Damaskus","Damaskus, Syrien",573,"inklusive 102 für Damascus",33.5165596,36.31708145,3090.91942342208
"Syrien","DARAA","Daraa","Daraa, Syrien",105,"",32.61819839,36.10512924,3153.03680858121
"Syrien","HASAKA","Hasaka","Hasaka, Syrien",134,"",36.49594879,40.76530838,3142.63827136904
"Syrien","HOMS","Homs","Homs, Syrien",100,"",34.73218918,36.71767044,3016.64209214488
"Taiwan","TAIPEI","Taipei","Taipei, Taiwan",112,"",25.04743958,121.516098,9434.00650184901
"Thailand","BANGKOK","Bangkok","Bangkok, Thailand",136,"",13.75335026,100.5048294,9082.55912883426
"Tschechische Republik","PRAG","Prag","Prag, Tschechische Republik",173,"",50.12691879,14.45672035,556.009502234882
"Tunesien","TUNIS","Tunis","Tunis, Tunesien",265,"",36.80001068,10.18270016,1623.06495474513
"Türkei","AKSARAY","Aksaray","Aksaray, Türkei",263,"",38.36780167,34.03068161,2562.26270543938
"Türkei","ANKARA","Ankara","Ankara, Türkei",293,"",39.94290161,32.86050034,2370.60876133981
"Türkei","AVANOS","Avanos","Avanos, Türkei",170,"",38.70600128,34.84500122,2589.73906356223
"Türkei","ISTANBUL","Istanbul","Istanbul, Türkei",557,"inklusive 108 f+r Istanbul/Türkei",41.06072998,28.98777008,2040.98986964221
"Türkei","IZMIR","Izmir","Izmir, Türkei",149,"",38.42618179,27.14191055,2134.17681073615
"Türkei","KAYSERI","Kayseri","Kayseri, Türkei",106,"",38.72098923,35.48337936,2630.27948085215
"Türkei","KIRSEHIR","Kirsehir","Kirsehir, Türkei",182,"",39.31573868,34.11726379,2497.75674530463
"Türkei","ORDU","Ordu","Ordu, Türkei",160,"",40.98109818,37.9048996,2635.52443768753
"Ukraine","CHARKOW","Charkow","Charkow, Ukraine",351,"plus Charkov",50.00423813,36.23575974,2075.61105536119
"Ukraine","DNEPROPETROWSK","Dnepropetrowsk","Dnepropetrowsk, Ukraine",387,"plus Dnepropetrovsk",48.47531128,35.01612091,2040.90311610416
"Ukraine","KIEW","Kiew","Kiew, Ukraine",608,"",50.45056915,30.5242691,1667.90186374316
"Ukraine","ODESSA","Odessa","Odessa, Ukraine",381,"",46.47969818,30.71549988,1824.79789829703
"Ukraine","SIMFEROPOL","Simferopol","Simferopol, Ukraine",147,"",44.95748138,34.10826874,2136.95743611206
"Ungarn","BUDAPEST","Budapest","Budapest, Ungarn",325,"",47.51303101,19.12298012,985.10571712453
"Usbekistan","TASCHKENT","Taschkent","Taschkent, Usbekistan",236,"",41.32051086,69.30666351,4790.89918128556
"Venezuela","CARACAS","Caracas","Caracas, Venezuela",103,"",10.49536991,-66.84887695,7961.685237971
"Vereinigte Staaten","NEW YORK","New York","New York, Vereinigte Staaten",179,"",40.7820015,-73.83170319,6030.25562764448
"Vereinigtes Königreich","LONDON","London","London, Vereinigtes Königreich",351,"",51.50642014,-0.127210006,481.726114865417
"Vietnam","SAIGON","Saigon","Saigon, Vietnam",142,"",10.77822971,106.70327,9760.73170334732
"Weißrussland","MINSK","Minsk","Minsk, Weißrussland",183,"",53.8832016,27.50429916,1431.52434446639
