"pops","distance","countsum","orte","norm"
80729.8125,350.5144174,111,"Bernburg, Sachsen-Anhalt",0.00137495674228155
80920.2265625,312.1408436,125,"Coburg, Bayern",0.00154473121628564
81917.7734375,226.4988732,763,"Göttingen, Niedersachsen<br>Northeim, Niedersachsen",0.00931421800156884
84600.3125,108.83771195,390,"Meschede, Nordrhein-Westfalen<br>Warstein , Nordrhein-Westfalen",0.00460991204967476
87002.890625,385.5236366,267,"Dessau, Sachsen-Anhalt",0.00306886355248613
88186.65625,147.6803262,407,"Marburg, Hessen",0.00461521070541781
90522.1328125,361.9587931,104,"Itzehoe , Schleswig-Holstein",0.00114889029642526
90709.4765625,299.1891194,511,"Erfurt , Thüringen",0.00563336951512353
90780.2734375,146.4680147,162,"Weimar an der Lahn, Hessen",0.00178452866317409
92660.4921875,101.6720733,175,"Lenne , Nordrhein-Westfalen",0.0018886150490749
93824.6796875,162.412597,661,"Trier , Rheinland-Pfalz",0.00704505469351539
95225.5703125,272.6511461,326,"Wilhelmshaven, Niedersachsen",0.00342345022382299
97084.671875,134.8146174,236,"Ibbenbüren , Nordrhein-Westfalen",0.00243086777183383
97360.2265625,191.3504326,384,"Minden , Nordrhein-Westfalen",0.00394411571909698
97625.15625,372.8539348,131,"Villingen-Schwenningen, Baden-Württemberg",0.00134186725053257
98251.890625,203.4287226,217,"Hameln, Niedersachsen",0.00220860889922443
98722.703125,338.9569405,123,"Rheinhausen, Baden-Württemberg",0.00124591402085355
98734.8828125,78.159463125,267,"Dülmen , Nordrhein-Westfalen<br>Lüdinghausen , Nordrhein-Westfalen",0.00270421144376137
99180.5234375,103.1677354,129,"Mayen , Rheinland-Pfalz",0.00130065859232222
102177.296875,267.75944735,280,"Bad Kissingen, Bayern<br>Schweinfurt, Bayern",0.00274033477654573
103320.203125,148.2389978,888,"Paderborn , Nordrhein-Westfalen",0.00859464047825835
103947.796875,336.0963209,188,"Lüneburg, Niedersachsen",0.00180860014018455
104920.5,116.2609823,224,"Warendorf , Nordrhein-Westfalen",0.00213494979532122
106246.203125,384.6742312,180,"Neumünster , Schleswig-Holstein",0.0016941781890147
108832.5,430.2429327,120,"Konstanz, Baden-Württemberg",0.00110261181172903
108849.6015625,100.9732666,388,"Soest , Nordrhein-Westfalen",0.00356455140331603
108966.5,387.7953638,110,"Plauen, Sachsen",0.00100948456635755
109186.6015625,368.2049293,102,"Bayreuth, Bayern",0.000934180554576687
110965,437.6657017,271,"Flensburg , Schleswig-Holstein",0.0024422115081332
