pops,distance,countsum,orte,norm,
117702.8984,573.7847614,230,"Görlitz, Sachsen",0.001954073,
118941.6016,112.1659169,330,"Beckum , Nordrhein-Westfalen<br>Oelde , Nordrhein-Westfalen",0.002774471,
119082,282.8088825,815,"Braunschweig, Niedersachsen<br>Wolfenbüttel, Niedersachsen",0.006844023,
121781.7969,237.3596822,541,"Gronau (Leine), Niedersachsen<br>Hildesheim, Niedersachsen",0.004442372,
121871.7031,140.0795219,227,"Georgsmarienhütte, Niedersachsen",0.001862614,
123864.1016,140.6486033,104,"Mettingen, Nordrhein-Westfalen",0.00083963,
124021.1016,60.54706977,597,"Goch , Nordrhein-Westfalen<br>Kevelaer , Nordrhein-Westfalen",0.004813697,
124534.3984,365.6651738,103,"Köthen, Sachsen-Anhalt",0.000827081,
126127.5,327.6006982,130,"Bamberg, Bayern",0.001030703,
127324.7969,98.87230391,443,"Andernach , Rheinland-Pfalz<br>Neuwied , Rheinland-Pfalz",0.003479291,
127735.2031,1488.238055,226,"Tetovo, Mazedonien",0.001769285,
128169.2031,176.9037405,121,"Lübbecke , Nordrhein-Westfalen",0.000944065,
128973.2969,151.1175413,361,"Gießen, Hessen",0.002799029,
129901.2031,166.5398613,425,"Detmold , Nordrhein-Westfalen",0.003271717,
132345.9063,308.090056,146,"Wolfsburg, Niedersachsen",0.00110317,
132493.5938,3153.036809,105,"Daraa, Syrien",0.000792491,
132831.5,68.70396613,645,"Bocholt , Nordrhein-Westfalen<br>Rhede , Nordrhein-Westfalen",0.004855776,
133366.2031,83.14288894,275,"Borken , Nordrhein-Westfalen",0.002061992,
136180.7969,78.16064679,465,"Attendorn, Nordrhein-Westfalen<br>Olpe , Nordrhein-Westfalen<br>Plettenberg , Nordrhein-Westfalen",0.003414578,
136506,62.03234969,209,"Euskirchen , Nordrhein-Westfalen",0.001531068,
137656.7969,2134.176811,149,"Izmir, Türkei",0.001082402,
137719.5938,450.397446,166,"Regensburg, Bayern",0.001205348,
138722.7969,1965.753958,264,"Oujda, Marokko",0.001903076,
139060.5,208.9885983,166,"Kaiserslautern , Rheinland-Pfalz",0.001193725,
140443.2969,349.0975437,131,"Reutlingen, Baden-Württemberg",0.000932761,
140512,913.0009685,129,"Elbing, Polen",0.000918071,
140591.2969,998.9353983,470,"Königsberg, Russische Föderation",0.003343023,
142388.5938,339.0131211,286,"Jena , Thüringen",0.002008588,
146274,402.8081702,213,"Zwickau, Sachsen",0.001456171,
155383,1519.246428,420,"Kumanovo, Mazedonien",0.002702998,
156622.0938,47.63388384,701,"Geldern , Nordrhein-Westfalen<br>Issum, Nordrhein-Westfalen<br>Xanten , Nordrhein-Westfalen",0.004475741,
157537.5938,116.7934565,285,"Emsdetten , Nordrhein-Westfalen<br>Greven , Nordrhein-Westfalen",0.001809092,
158629.2969,214.2816863,157,"Aschaffenburg, Bayern",0.000989729,
159861.2031,74.46956409,677,"Hemer , Nordrhein-Westfalen<br>Menden (Sauerland), Nordrhein-Westfalen<br>Werdohl , Nordrhein-Westfalen<br>Wickede Ruhr, Nordrhein-Westfalen",0.004234924,
160222.5938,786.5841711,472,"Oppeln, Polen",0.002945902,
160316.2969,235.3461406,572,"Oldenburg, Niedersachsen",0.003567947,
160625.7031,1514.581237,1310,"Skopje, Mazedonien",0.008155606,
160869.5,274.079854,488,"Würzburg, Bayern",0.003033515,
160909,376.0510292,236,"Gera , Thüringen",0.001466667,
160958.7969,388.6720594,215,"Ulm, Baden-Württemberg",0.001335746,
161054.9063,176.6613961,383,"Bad Oeynhausen, Nordrhein-Westfalen<br>Lemgo , Nordrhein-Westfalen",0.002378071,
162040.5,77.86773211,954,"Emmerich am Rhein , Nordrhein-Westfalen<br>Kleve , Nordrhein-Westfalen",0.005887417,
163235.0938,49.35122322,1233,"Düren , Nordrhein-Westfalen<br>Eschweiler, Nordrhein-Westfalen<br>Jülich , Nordrhein-Westfalen<br>Linnich , Nordrhein-Westfalen<br>lohn , Nordrhein-Westfalen",0.007553523,
164324.9063,83.83789601,320,"Coesfeld , Nordrhein-Westfalen",0.001947362,
164673.7969,286.0804593,320,"Bremerhaven, Bremen",0.001943236,
165054.2969,69.59008813,175,"Waldbröl , Nordrhein-Westfalen",0.001060257,
166777.7969,2203.180142,169,"Rabat, Marokko",0.001013324,
167050.5938,148.660178,670,"Osnabrück, Niedersachsen",0.004010761,
174334.7969,352.1318876,184,"Erlangen, Bayern",0.00105544,
181476.2969,363.428718,720,"Halle (Saale), Sachsen-Anhalt<br>Merseburg, Sachsen-Anhalt",0.00396746,
182181.0938,269.2591264,102,"Peine, Niedersachsen",0.000559882,
184192.2969,8006.619819,134,"Jaffna, Sri Lanka",0.000727501,
185241.7031,8367.071606,202,"Hubei, China",0.001090467,
185806.2031,267.1495812,185,"Salzgitter, Niedersachsen",0.000995661,
187130.7969,57.61537243,808,"Gummersbach , Nordrhein-Westfalen<br>Lüdenscheid , Nordrhein-Westfalen",0.004317836,
191166.4063,365.873534,607,"Freiburg, Baden-Württemberg",0.003175244,
191794.2969,110.8856445,629,"Koblenz , Rheinland-Pfalz",0.003279555,
194068.9063,396.2163661,458,"Lübeck, Schleswig-Holstein",0.002359987,
194786,132.015933,627,"Gütersloh , Nordrhein-Westfalen<br>Rheda-Wiedenbrück , Nordrhein-Westfalen",0.003218917,
204310.5,29.46673532,2113,"Kempen , Nordrhein-Westfalen<br>Nettetal , Nordrhein-Westfalen<br>Tönisvorst , Nordrhein-Westfalen<br>Viersen , Nordrhein-Westfalen",0.010342102,
208129.2031,50.15491097,266,"Heinsberg , Nordrhein-Westfalen",0.001278052,
210008.7969,482.2837847,410,"Rostock, Mecklenburg-Vorpommern",0.001952299,
219953.7031,682.07207,211,"Swidnica, Polen",0.000959293,
220800,1698.229376,149,"Plowdiw, Bulgarien",0.000674819,
221058.5938,188.2441752,732,"Kassel, Hessen",0.003311339,
222613.0938,4900.092724,136,"Asmara, Eritrea",0.000610925,
223496.4063,8997.207858,207,"Zhejiang, China",0.000926189,
