Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz,pop,norm
Marokko,Nador,"Nador, Marokko",792,35.17979813,-2.926179886,1942.812443,126207,0.0062754046922912400
Portugal,Lissabon,"Lissabon, Portugal",115,38.71699905,-9.138640404,1863.420233,517802,0.0002220926145515080
Ukraine,Odessa,"Odessa, Ukraine",381,46.47969818,30.71549988,1824.797898,1010326,0.0003771060034088010
Bulgarien,Warna,"Warna, Bulgarien",127,43.21670151,27.91670036,1821.946546,334763,0.0003793728697615930
Griechenland,Komotini,"Komotini, Griechenland",215,41.11589813,25.39380074,1814.782222,45631,0.0047117091450987300
Rumänien,Constanta,"Constanta, Rumänien",129,44.15399933,28.61849976,1808.638006,306332,0.0004211117349803480
Griechenland,Xanthi,"Xanthi, Griechenland",103,41.14089966,24.88660049,1782.566298,48221,0.0021359988386802400
Russische Föderation,Leningrad,"Leningrad, Russische Föderation",255,59.92887497,30.22154617,1753.695223,4600276,0.0000554314567212924
Russische Föderation,St. Petersburg,"St. Petersburg, Russische Föderation",615,59.92887497,30.22154617,1753.695223,246541,0.0024945140970467400
Griechenland,Drama,"Drama, Griechenland",155,41.15729904,24.15089989,1737.919775,44226,0.0035047257269479500
Bulgarien,Stara Sagora,"Stara Sagora, Bulgarien",102,42.42272949,25.6354599,1731.285365,137649,0.0007410151908114120
Griechenland,Thessaloniki,"Thessaloniki, Griechenland",547,40.64839935,22.93530083,1709.936676,322240,0.0016974925521350500
Griechenland,Serres,"Serres, Griechenland",274,41.09090042,23.56451035,1709.239586,55886,0.0049028379200515300
Bulgarien,Plowdiw,"Plowdiw, Bulgarien",149,42.13619995,24.75530052,1698.229376,338657,0.0004399731882110810
Griechenland,Ioannina,"Ioannina, Griechenland",100,39.64730072,20.84140015,1685.751964,64012,0.0015622070861713400
Ukraine,Kiew,"Kiew, Ukraine",608,50.45056915,30.5242691,1667.901864,2799199,0.0002172049932855790
Moldawien,Chisinau,"Chisinau, Moldawien",128,47.03770065,28.81229973,1666.820944,647513,0.0001976794288300000
Rumänien,Bukarest,"Bukarest, Rumänien",709,44.43429184,26.10296059,1624.670498,1944451,0.0003646273421135320
Tunesien,Tunis,"Tunis, Tunesien",265,36.80001068,10.18270016,1623.064955,2256320,0.0001174478797333710
Bulgarien,Sofia,"Sofia, Bulgarien",362,42.67819214,23.39904404,1575.362577,1208097,0.0002996448132889990
Rumänien,Iasi,"Iasi, Rumänien",105,47.16669846,27.55380058,1573.84657,307377,0.0003416000546560090
Rumänien,Bacau,"Bacau, Rumänien",145,46.58250046,26.90509987,1557.11124,180516,0.0008032528972501050
