"pops","distance","countsum","orte","norm"
138111.90625,450.397446,166,"Regensburg, Bayern",0.00120192389278531
139456.203125,208.9885983,166,"Kaiserslautern , Rheinland-Pfalz",0.00119033787153382
140002.296875,2134.176811,149,"Izmir, Türkei",0.00106426825363468
140655.796875,913.0009685,129,"Elblag (Elbing), Polen",0.000917132481319924
140842.90625,349.0975437,131,"Reutlingen, Baden-Württemberg",0.000930114291787415
142794,339.0131211,286,"Jena , Thüringen",0.00200288527529168
146690.40625,402.8081702,213,"Zwickau, Sachsen",0.00145203769929569
153000,1519.246428,420,"Kumanovo, Mazedonien",0.00274509803921569
157067.5,47.6338838433333,701,"Xanten , Nordrhein-Westfalen<br>Geldern , Nordrhein-Westfalen<br>Issum, Nordrhein-Westfalen",0.00446304932592675
157985.40625,116.79345645,285,"Emsdetten , Nordrhein-Westfalen<br>Greven , Nordrhein-Westfalen",0.00180396409241123
159080.703125,214.2816863,157,"Aschaffenburg, Bayern",0.000986920455566725
160315.703125,74.469564085,677,"Wickede Ruhr, Nordrhein-Westfalen<br>Menden (Sauerland), Nordrhein-Westfalen<br>Hemer , Nordrhein-Westfalen<br>Werdohl , Nordrhein-Westfalen",0.00422291757328435
160386.796875,786.5841711,472,"Opole (Oppeln), Polen",0.00294288563146417
160772.59375,235.3461406,572,"Oldenburg, Niedersachsen",0.00355782031413547
161041.09375,77.867732105,954,"Emmerich am Rhein , Nordrhein-Westfalen<br>Kleve , Nordrhein-Westfalen",0.00592395380449284
161327.296875,274.079854,488,"Würzburg, Bayern",0.00302490656852766
161367.296875,376.0510292,236,"Gera , Thüringen",0.00146250203461494
161416.40625,388.6720594,215,"Ulm, Baden-Württemberg",0.00133195878284522
161512.703125,176.6613961,383,"Bad Oeynhausen, Nordrhein-Westfalen<br>Lemgo , Nordrhein-Westfalen",0.00237133050583386
163699.09375,49.35122322,1233,"Eschweiler, Nordrhein-Westfalen<br>lohn , Nordrhein-Westfalen<br>Düren , Nordrhein-Westfalen<br>Linnich , Nordrhein-Westfalen<br>Jülich , Nordrhein-Westfalen",0.00753211255941971
164512.796875,2203.180142,169,"Rabat, Marokko",0.00102727570870009
164791.90625,83.83789601,320,"Coesfeld , Nordrhein-Westfalen",0.00194184294169484
