"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Ukraine","Odessa","Odessa, Ukraine",381,46.47969818,30.71549988,1824.797898,1010326,0.000377106003408801
"Bulgarien","Warna","Warna, Bulgarien",127,43.21670151,27.91670036,1821.946546,334763,0.000379372869761593
"Griechenland","Komotini","Komotini, Griechenland",215,41.11589813,25.39380074,1814.782222,45631,0.00471170914509873
"Rumänien","Constanta","Constanta, Rumänien",129,44.15399933,28.61849976,1808.638006,306332,0.000421111734980348
"Griechenland","Xanthi","Xanthi, Griechenland",103,41.14089966,24.88660049,1782.566298,48221,0.00213599883868024
"Russische Föderation","Leningrad","Leningrad, Russische Föderation",255,59.92887497,30.22154617,1753.695223,4600276,5.54314567212924e-05
"Russische Föderation","St. Petersburg","St. Petersburg, Russische Föderation",615,59.92887497,30.22154617,1753.695223,246541,0.00249451409704674
"Griechenland","Drama","Drama, Griechenland",155,41.15729904,24.15089989,1737.919775,44226,0.00350472572694795
"Bulgarien","Stara Sagora","Stara Sagora, Bulgarien",102,42.42272949,25.6354599,1731.285365,137649,0.000741015190811412
"Griechenland","Thessaloniki","Thessaloniki, Griechenland",547,40.64839935,22.93530083,1709.936676,322240,0.00169749255213505
"Griechenland","Serres","Serres, Griechenland",274,41.09090042,23.56451035,1709.239586,55886,0.00490283792005153
"Bulgarien","Plowdiw","Plowdiw, Bulgarien",149,42.13619995,24.75530052,1698.229376,338657,0.000439973188211081
"Griechenland","Ioannina","Ioannina, Griechenland",100,39.64730072,20.84140015,1685.751964,64012,0.00156220708617134
"Ukraine","Kiew","Kiew, Ukraine",608,50.45056915,30.5242691,1667.901864,2799199,0.000217204993285579
"Moldawien","Chisinau","Chisinau, Moldawien",128,47.03770065,28.81229973,1666.820944,647513,0.00019767942883
"Rumänien","Bukarest","Bukarest, Rumänien",709,44.43429184,26.10296059,1624.670498,1944451,0.000364627342113532
"Tunesien","Tunis","Tunis, Tunesien",265,36.80001068,10.18270016,1623.064955,2256320,0.000117447879733371
"Bulgarien","Sofia","Sofia, Bulgarien",362,42.67819214,23.39904404,1575.362577,1208097,0.000299644813288999
"Rumänien","Iasi","Iasi, Rumänien",105,47.16669846,27.55380058,1573.84657,307377,0.000341600054656009
"Rumänien","Bacau","Bacau, Rumänien",145,46.58250046,26.90509987,1557.11124,180516,0.000803252897250105
"Italien","Partinico","Partinico, Italien",133,38.04809952,13.12150002,1544.815529,31562,0.0042139281414359
"Italien","Palermo","Palermo, Italien",220,38.11709976,13.35289955,1543.4853,656081,0.000335324449267697
"Mazedonien","Kumanovo","Kumanovo, Mazedonien",420,42.13668823,21.7177906,1519.246428,108471,0.00387200265508753
"Mazedonien","Skopje","Skopje, Mazedonien",1310,41.99473953,21.42999077,1514.581237,474889,0.00275853936393557
"Mazedonien","Tetovo","Tetovo, Mazedonien",226,42.00880051,20.97660065,1488.238055,72944,0.00309826716385172
"Kosovo","Ferizaj","Ferizaj, Kosovo",129,42.37007904,21.15166855,1468.388252,94277,0.00136830828303828
"Kosovo","Prizren","Prizren, Kosovo",191,42.21760178,20.73349953,1457.56368,159145,0.0012001633730246
"Spanien","Madrid","Madrid, Spanien",437,40.42028046,-3.705770016,1446.302089,3273049,0.000133514652545684
"Kosovo","Pristina","Pristina, Kosovo",160,42.66379929,21.16620064,1445.570149,254021,0.000629869184043839
"Weißrussland","Minsk","Minsk, Weißrussland",183,53.8832016,27.50429916,1431.524344,1836808,9.96293570149956e-05
"Lettland","Riga","Riga, Lettland",327,57.02769852,24.04470062,1295.83539,706413,0.000462902013411418
