"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Bayern","Schweinfurt","Schweinfurt, Bayern",142,50.04539871,10.23159981,276.9083855,53970,0.00263109134704465
"Thüringen","Gotha ","Gotha , Thüringen",123,50.94260025,10.70180035,276.7452619,46497,0.00264533195690045
"Niedersachsen","Celle","Celle, Niedersachsen",297,52.62189865,10.0763998,275.6613111,71146,0.00417451437888286
"Bayern","Würzburg","Würzburg, Bayern",488,49.80350113,9.944020271,274.079854,134913,0.00361714586437185
"Niedersachsen","Wilhelmshaven","Wilhelmshaven, Niedersachsen",326,53.52959824,8.099840164,272.6511461,82797,0.00393734072490549
"Baden-Württemberg","Karlsruhe","Karlsruhe, Baden-Württemberg",611,49.00540161,8.386870384,271.3400063,286327,0.00213392380041002
"Niedersachsen","Peine","Peine, Niedersachsen",102,52.32279968,10.24569988,269.2591264,49770,0.00204942736588306
"Niedersachsen","Salzgitter","Salzgitter, Niedersachsen",185,52.15327835,10.33312035,267.1495812,106665,0.00173440210003281
"Niedersachsen","Goslar","Goslar, Niedersachsen",150,51.91469955,10.42930031,264.9443379,42792,0.00350532809871004
"Bayern","Bad Kissingen","Bad Kissingen, Bayern",138,50.19189835,10.06379986,258.6105092,21092,0.00654276502939503
"Niedersachsen","Aurich","Aurich, Niedersachsen",131,53.46720123,7.488900185,255.0525756,40651,0.00322255295072692
"Bremen","Bremen","Bremen, Bremen",1278,53.07509995,8.804690361,249.0572251,547934,0.00233239769753291
"Niedersachsen","Hildesheim","Hildesheim, Niedersachsen",401,52.16080093,9.978560448,245.1079705,103249,0.00388381485534969
"Baden-Württemberg","Heidelberg","Heidelberg, Baden-Württemberg",617,49.4134903,8.708069801,243.0183878,144634,0.00426594023535268
"Rheinland-Pfalz","Speyer ","Speyer , Rheinland-Pfalz",136,49.31000137,8.425359726,242.2681113,50648,0.00268519981045648
"Niedersachsen","Emden","Emden, Niedersachsen",119,53.37070084,7.208630085,241.4619281,51742,0.00229987244404932
"Niedersachsen","Hannover","Hannover, Niedersachsen",1551,52.37226868,9.738149643,241.4353101,516343,0.00300381723001958
