Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Niedersachsen,Northeim,"Northeim, Niedersachsen",118,51.70349884,9.992620468,230.0234452
Niedersachsen,Oldenburg,"Oldenburg, Niedersachsen",572,53.14419937,8.193479538,235.3461406
Niedersachsen,Osnabrück,"Osnabrück, Niedersachsen",670,52.29130173,8.054650307,148.660178
Niedersachsen,Papenburg,"Papenburg, Niedersachsen",124,53.07429886,7.409880161,211.1884099
Niedersachsen,Peine,"Peine, Niedersachsen",102,52.32279968,10.24569988,269.2591264
Niedersachsen,Salzgitter,"Salzgitter, Niedersachsen",185,52.15327835,10.33312035,267.1495812
Niedersachsen,Stade Hanse,"Stade Hanse, Niedersachsen",138,53.59527,9.47672,322.1448465
Niedersachsen,Uelzen,"Uelzen, Niedersachsen",108,52.97449875,10.56260014,324.8810839
Niedersachsen,Vechta,"Vechta, Niedersachsen",143,52.7356987,8.281640053,198.1651677
Niedersachsen,Wilhelmshaven,"Wilhelmshaven, Niedersachsen",326,53.52959824,8.099840164,272.6511461
Niedersachsen,Wolfenbüttel,"Wolfenbüttel, Niedersachsen",130,52.15890121,10.55910015,281.8163813
Niedersachsen,Wolfsburg,"Wolfsburg, Niedersachsen",146,52.42440033,10.79749966,308.090056
Nordrhein-Westfalen,Aachen,"Aachen, Nordrhein-Westfalen",2082,50.77822876,6.088640213,68.50793002
Nordrhein-Westfalen,Ahaus,"Ahaus, Nordrhein-Westfalen",194,52.09030151,7.00797987,98.57030971
Nordrhein-Westfalen,Ahlen,"Ahlen, Nordrhein-Westfalen",232,51.74150085,7.889550209,96.96744125
Nordrhein-Westfalen,Arnsberg,"Arnsberg, Nordrhein-Westfalen",533,51.39440155,8.06210041,91.8597679
Nordrhein-Westfalen,Attendorn,"Attendorn, Nordrhein-Westfalen",158,51.12440109,7.90060997,79.30358956
Nordrhein-Westfalen,Bad Oeynhausen,"Bad Oeynhausen, Nordrhein-Westfalen",188,52.22249985,8.816619873,180.0437099
Nordrhein-Westfalen,Bardenberg,"Bardenberg, Nordrhein-Westfalen",315,50.84019852,6.110660076,62.61859053
Nordrhein-Westfalen,Beckum ,"Beckum , Nordrhein-Westfalen",211,51.76010132,8.04763031,107.0757947
Nordrhein-Westfalen,Bergheim ,"Bergheim , Nordrhein-Westfalen",122,50.94889832,6.648990154,30.96197327
Nordrhein-Westfalen,Bergisch Gladbach ,"Bergisch Gladbach , Nordrhein-Westfalen",1205,50.98949814,7.123159885,34.97398642
Nordrhein-Westfalen,Bielefeld ,"Bielefeld , Nordrhein-Westfalen",1378,52.00189972,8.592909813,153.2395216
Nordrhein-Westfalen,Bocholt ,"Bocholt , Nordrhein-Westfalen",536,51.81980133,6.609749794,68.16038975
Nordrhein-Westfalen,Bochum ,"Bochum , Nordrhein-Westfalen",1856,51.48199844,7.212639809,42.45372062
Nordrhein-Westfalen,Bonn ,"Bonn , Nordrhein-Westfalen",2296,50.73242188,7.101860046,58.39153324
Nordrhein-Westfalen,Borken ,"Borken , Nordrhein-Westfalen",275,51.95780182,6.922500134,83.14288894
Nordrhein-Westfalen,Bottrop ,"Bottrop , Nordrhein-Westfalen",629,51.51819992,6.932169914,35.35436336
Nordrhein-Westfalen,Brilon ,"Brilon , Nordrhein-Westfalen",249,51.38650131,8.566949844,126.335222
Nordrhein-Westfalen,Brühl ,"Brühl , Nordrhein-Westfalen",130,50.83039856,6.90557003,43.78200442
Nordrhein-Westfalen,Bünde ,"Bünde , Nordrhein-Westfalen",145,52.196763,8.582987,165.8319821
Nordrhein-Westfalen,Castrop-Rauxel ,"Castrop-Rauxel , Nordrhein-Westfalen",301,51.54769897,7.316150188,52.69773674
Nordrhein-Westfalen,Coesfeld ,"Coesfeld , Nordrhein-Westfalen",320,51.9294014,7.165850163,83.83789601
Nordrhein-Westfalen,Datteln ,"Datteln , Nordrhein-Westfalen",250,51.6631012,7.34528017,63.57550458
Nordrhein-Westfalen,Detmold ,"Detmold , Nordrhein-Westfalen",425,51.94300079,8.876379967,166.5398613
Nordrhein-Westfalen,Dinslaken ,"Dinslaken , Nordrhein-Westfalen",775,51.56110001,6.765950203,38.41720934
Nordrhein-Westfalen,Dormagen ,"Dormagen , Nordrhein-Westfalen",608,51.1006012,6.854050159,13.90450597
Nordrhein-Westfalen,Dorsten ,"Dorsten , Nordrhein-Westfalen",337,51.6631012,6.963759899,51.43583515
Nordrhein-Westfalen,Dortmund ,"Dortmund , Nordrhein-Westfalen",2415,51.51660919,7.4582901,58.11536494
Nordrhein-Westfalen,Duisburg ,"Duisburg , Nordrhein-Westfalen",8294,51.43143082,6.763929844,24.00818273
Nordrhein-Westfalen,Dülmen ,"Dülmen , Nordrhein-Westfalen",149,51.84180069,7.279009819,77.88119383
Nordrhein-Westfalen,Düren ,"Düren , Nordrhein-Westfalen",585,50.803553,6.480544,50.28817509
Nordrhein-Westfalen,Düsseldorf ,"Düsseldorf , Nordrhein-Westfalen",226079,51.21562958,6.776040077,0
Nordrhein-Westfalen,Emmerich am Rhein ,"Emmerich am Rhein , Nordrhein-Westfalen",396,51.83309937,6.24477005,77.92882522
Nordrhein-Westfalen,Emsdetten ,"Emsdetten , Nordrhein-Westfalen",146,52.17979813,7.521830082,118.9607937
Nordrhein-Westfalen,Engelskirchen,"Engelskirchen, Nordrhein-Westfalen",151,50.98320007,7.415780067,51.72857542
Nordrhein-Westfalen,Erkelenz,"Erkelenz, Nordrhein-Westfalen",354,51.08060074,6.312489986,35.74181984
Nordrhein-Westfalen,Erkrath,"Erkrath, Nordrhein-Westfalen",277,51.2215004,6.897799969,8.532021022
Nordrhein-Westfalen,Eschweiler,"Eschweiler, Nordrhein-Westfalen",192,50.81719971,6.269489765,56.79426692
Nordrhein-Westfalen,Essen ,"Essen , Nordrhein-Westfalen",5658,51.45180893,7.01060009,30.93159183
Nordrhein-Westfalen,Euskirchen ,"Euskirchen , Nordrhein-Westfalen",209,50.65769958,6.787320137,62.03234969
Nordrhein-Westfalen,Frechen ,"Frechen , Nordrhein-Westfalen",190,50.90439987,6.792049885,34.61969177
Nordrhein-Westfalen,Geilenkirchen ,"Geilenkirchen , Nordrhein-Westfalen",150,50.96450043,6.119709969,53.79553565
Nordrhein-Westfalen,Geldern ,"Geldern , Nordrhein-Westfalen",480,51.51399994,6.319210052,45.96468674
Nordrhein-Westfalen,Gelsenkirchen ,"Gelsenkirchen , Nordrhein-Westfalen",1857,51.51729965,7.122210026,41.30593577
Nordrhein-Westfalen,Geseke ,"Geseke , Nordrhein-Westfalen",103,51.63740158,8.501379967,128.8340996
